date, pm25
2020/11/17, 90
2020/11/18, 91
2020/11/19, 92
2020/11/20, 94
2020/11/21, 86
2020/11/22, 87
2020/11/23, 89
2020/11/24, 76
2020/11/25, 77
2020/11/26, 84
2020/11/27, 74
2020/11/28, 80
2020/11/29, 75
2020/11/30, 70
2020/12/1, 74
2020/12/2, 74
2020/12/3, 75
2020/12/4, 71
2020/12/5, 80
2020/12/6, 62
2020/12/7, 69
2020/12/8, 72
2020/12/9, 87
2020/12/10, 83
2020/12/11, 80
2020/12/12, 79
2020/12/13, 73
2020/12/14, 81
2020/12/15, 77
2020/12/16, 88
2020/12/17, 80
2020/12/18, 82
2020/12/19, 82
2020/12/20, 80
2020/12/21, 80
2020/12/22, 102
2020/12/23, 98
2020/12/24, 115
2020/12/25, 117
2020/12/26, 106
2020/12/27, 95
2020/12/28, 101
2020/12/29, 116
2020/12/30, 113
2020/12/31, 123
2021/1/1, 136
2021/1/2, 144
2021/1/3, 125
2021/1/4, 101
2020/7/2, 65
2020/7/3, 63
2020/7/4, 70
2020/7/5, 66
2020/7/6, 77
2020/7/7, 76
2020/7/8, 80
2020/7/9, 75
2020/7/10, 90
2020/7/11, 94
2020/7/12, 82
2020/7/13, 84
2020/7/14, 78
2020/7/15, 65
2020/7/16, 65
2020/7/17, 61
2020/7/18, 67
2020/7/19, 69
2020/7/20, 64
2020/7/21, 58
2020/7/22, 64
2020/7/23, 76
2020/7/24, 78
2020/7/25, 71
2020/7/26, 81
2020/7/27, 91
2020/7/28, 81
2020/7/29, 76
2020/7/30, 75
2020/7/31, 66
2020/8/1, 62
2020/8/2, 63
2020/8/3, 65
2020/8/4, 71
2020/8/5, 77
2020/8/6, 59
2020/8/7, 65
2020/8/8, 57
2020/8/9, 79
2020/8/10, 71
2020/8/11, 69
2020/8/12, 68
2020/8/13, 80
2020/8/14, 84
2020/8/15, 75
2020/8/16, 70
2020/8/17, 76
2020/8/18, 70
2020/8/19, 76
2020/8/20, 72
2020/8/21, 78
2020/8/22, 76
2020/8/23, 68
2020/8/24, 62
2020/8/25, 72
2020/8/26, 66
2020/8/27, 71
2020/8/28, 67
2020/8/29, 72
2020/8/30, 69
2020/8/31, 70
2020/9/1, 72
2020/9/2, 67
2020/9/3, 64
2020/9/4, 62
2020/9/5, 52
2020/9/6, 63
2020/9/7, 56
2020/9/8, 52
2020/9/9, 47
2020/9/10, 60
2020/9/11, 55
2020/9/12, 55
2020/9/13, 56
2020/9/14, 47
2020/9/15, 57
2020/9/16, 67
2020/9/17, 65
2020/9/18, 68
2020/9/19, 64
2020/9/20, 63
2020/9/21, 63
2020/9/22, 66
2020/9/23, 61
2020/9/24, 57
2020/9/25, 67
2020/9/26, 64
2020/9/27, 53
2020/9/28, 54
2020/9/29, 54
